Id,AddedBlogCategories,AllowComments,BlogCategories,BlogPostIndex,BusinessId,ClearImageFile,ClearLargeImageFile,CommentsCount,CreatedOn,CustomFields,FullText,ImageFileName,IsNew,LanguageId,LargeImageFileName,LocalizationDetails,NewImageUrl,NewLargeImageUrl,OnlyForContacts,OnlyForMembers,PostedByFullName,PostedById,PublishDate,RemovedBlogCategories,ShowInHomeBanner,ShowInHomePage,Slug,SummaryText,SystemId,Title,ToStringText,UniqueId,UnpublishDate,UpdatedBy,UpdatedOn
1415293810,,False,[],1,1421021016,False,False,0,2026-08-27T08:46:08.9579617Z,,"After months of planning and renovation, we're thrilled to welcome you to the space. From redesigned hot desks to brand new meeting rooms, every corner has been built with our community in mind. Drop by reception if you'd like a tour, and keep an eye on this blog for updates as we settle in.",,False,,,,,,False,False,Matheus Matioli,1418332090,2025-08-27T00:00:00Z,,False,True,welcome-to-our-new-space,We're delighted to officially open our doors — here's what's new.,,Welcome to Our New Space,Welcome to Our New Space,0e6455b0-b611-41b7-b266-01a6202149b1,,matheus+explore@nexudus.com,2026-08-27T08:46:08.9579617Z
1415293811,,False,[],2,1421021016,False,False,0,2026-08-27T08:46:10.2562467Z,,"Summer is a great time to build new connections — the space tends to be a little quieter, which makes it easier to strike up conversations. Try grabbing a coffee at the shared kitchen during peak hours, joining one of our upcoming events, or posting an introduction in the Networking community group. You'd be surprised how many members are just as keen to meet new people as you are.",,False,,,,,,False,True,Matheus Matioli,1418332090,2025-10-05T00:00:00Z,,False,False,summer-networking-tips,A few ideas for making the most of the community this summer.,,Summer Networking Tips,Summer Networking Tips,2649e4f5-f88d-4f90-a109-87f81cb16818,,matheus+explore@nexudus.com,2026-08-27T08:46:10.2562467Z
1415293711,,False,[],3,1421021016,False,False,0,2026-08-27T08:46:10.8855473Z,,"Hot desking works best when a few small courtesies are followed: clear your desk at the end of the day, keep noise levels considerate near the quiet zones, and use the booking system if you know you'll need a specific spot. Lockers are available if you'd rather not carry everything home each evening — ask reception for details.",,False,,,,,,False,True,Matheus Matioli,1418332090,2025-11-14T00:00:00Z,,False,True,how-to-maximise-your-hot-desk,Simple habits that make hot-desking smoother for everyone.,,How to Maximise Your Hot Desk,How to Maximise Your Hot Desk,0e9e7e18-873e-4626-afa3-565498e3d9e9,,matheus+explore@nexudus.com,2026-08-27T08:46:10.8855473Z
1415293712,,False,[],4,1421021016,False,False,0,2026-08-27T08:46:11.5432627Z,,"We've expanded our facilities based on member feedback. Two additional meeting rooms are now bookable through the app, and the kitchen has been upgraded with a second coffee machine and more fridge space. We're always listening — if there's something you'd like to see next, let the team know.",,False,,,,,,False,False,Matheus Matioli,1418332090,2025-12-23T00:00:00Z,,False,True,new-facilities-announcement,Two new meeting rooms and an upgraded kitchen are now open.,,New Facilities Announcement,New Facilities Announcement,3e8a396b-f5b0-4ef2-8e31-4a0eabbc7824,,matheus+explore@nexudus.com,2026-08-27T08:46:11.5432627Z
1415293812,,False,[],5,1421021016,False,False,0,2026-08-27T08:46:12.3516484Z,,"Every so often we like to shine a light on members who've made this space feel like home. This month, we're celebrating someone who's been with us since the early days, has helped organise several community events, and is always the first to welcome newcomers. Thank you for everything you bring to this community.",,False,,,,,,False,False,Matheus Matioli,1418332090,2026-02-01T00:00:00Z,,False,False,member-spotlight--community-champion,Celebrating one of our longest-standing members and their journey here.,,Member Spotlight: Community Champion,Member Spotlight: Community Champion,1202cb05-8712-4184-a685-8eb95f552bef,,matheus+explore@nexudus.com,2026-08-27T08:46:12.3516484Z
1415293813,,False,[],6,1421021016,False,False,0,2026-08-27T08:46:12.8672938Z,,"We've refreshed our community guidelines to keep things running smoothly as we grow. The key changes cover shared space etiquette, guest policies, and how to report an issue. Nothing here should come as a surprise — it's mostly a matter of putting into writing the standards we already hold ourselves to. Full details are available on the members portal.",,False,,,,,,False,True,Matheus Matioli,1418332090,2026-03-12T00:00:00Z,,False,True,community-guidelines-update,"A few updates to our community guidelines, effective this month.",,Community Guidelines Update,Community Guidelines Update,3eac12a3-8d56-42ee-a77d-5b303f4aedfa,,matheus+explore@nexudus.com,2026-08-27T08:46:12.8672938Z
1415293713,,False,[],7,1421021016,False,False,0,2026-08-27T08:46:13.3401277Z,,"It's been a big year — new members joined, new facilities opened, and dozens of events brought the community together. Thank you to everyone who made it what it was. We're already planning for an even better year ahead, with more events, more flexibility, and more ways to connect.",,False,,,,,,False,False,Matheus Matioli,1418332090,2026-04-21T00:00:00Z,,False,False,year-in-review,Looking back at a busy year for the space and our community.,,Year in Review,Year in Review,9880673e-1e2f-4cf6-9eef-a2c5664c0a43,,matheus+explore@nexudus.com,2026-08-27T08:46:13.3401277Z
1415293814,,False,[],8,1421021016,False,False,0,2026-08-27T08:46:13.8360688Z,,"Based on member feedback, we've introduced more flexible plan options — whether you need a dedicated desk, a private office, or just a few days a month. Existing members can switch plans at any time from the portal, and our team is happy to help you find the right fit.",,False,,,,,,False,True,Matheus Matioli,1418332090,2026-05-30T00:00:00Z,,False,True,new-plans-available,A look at the new membership plans now available to join.,,New Plans Available,New Plans Available,851e62a4-5a97-4f90-97fc-d4f90ac73fc2,,matheus+explore@nexudus.com,2026-08-27T08:46:13.8360688Z
1415293815,,False,[],9,1421021016,False,False,0,2026-08-27T08:46:14.3062148Z,,"Booking a room or resource is quick, but a few habits make it even smoother: book as early as you can for popular slots, cancel promptly if your plans change so others can use the space, and double check the resource capacity before inviting guests. The booking system is available in the app and on the web portal.",,False,,,,,,False,False,Matheus Matioli,1418332090,2026-07-09T00:00:00Z,,False,False,booking-best-practices,How to get the most out of the booking system.,,Booking Best Practices,Booking Best Practices,4114323e-2787-4e80-a6c3-08bf090e31f5,,matheus+explore@nexudus.com,2026-08-27T08:46:14.3062148Z
1415293714,,False,[],10,1421021016,False,False,0,2026-08-27T08:46:14.8627169Z,,"We've got a packed quarter ahead — from hands-on workshops to casual social nights and focused networking sessions. Keep an eye on the events calendar and RSVP early, as spaces for some sessions are limited. We hope to see you there.",,False,,,,,,False,False,Matheus Matioli,1418332090,2026-08-17T00:00:00Z,,False,True,upcoming-events-this-quarter,"A preview of the workshops, socials, and networking events coming up.",,Upcoming Events This Quarter,Upcoming Events This Quarter,d779cc7f-81c9-4e99-b908-b79ebf580282,,matheus+explore@nexudus.com,2026-08-27T08:46:14.8627169Z
